Message,Code,Lines,Complexity
improve dump output for file fds," static int vfs_fd_test(int fd, const struct stat *st __attribute__((unused)))
 globallist = shm->global_objects[OBJ_FD_FILE].list;
 list_for_each(node, globallist) {
 obj = (struct object *) node;
-if (obj->filefd == fd)
+if (obj->fileobj.fd == fd)
 return 0;
 }
 
",89,4
only set up the pipe objhead once," static void pipefd_dump(struct object *obj)
 
 static void open_pipe_pair(unsigned int flags)
 {
-struct objhead *head;
 struct object *obj;
 int pipes[2];
 
-head = get_objhead(OBJ_GLOBAL, OBJ_FD_PIPE);
-head->destroy = &pipefd_destructor;
-head->dump = &pipefd_dump;
-
 if (pipe2(pipes, flags) < 0) {
 perror(""pipe fail.\n"");
 return;
 static void open_pipe_pair(unsigned int flags)
 
 static int open_pipes(void)
 {
+struct objhead *head;
+
+head = get_objhead(OBJ_GLOBAL, OBJ_FD_PIPE);
+head->destroy = &pipefd_destructor;
+head->dump = &pipefd_dump;
+
 open_pipe_pair(0);
 open_pipe_pair(O_NONBLOCK);
 open_pipe_pair(O_CLOEXEC);
",66,7
extend pipe object with additional info about creation," static int vfs_fd_test(int fd, const struct stat *st __attribute__((unused)))
 globallist = shm->global_objects[OBJ_FD_PIPE].list;
 list_for_each(node, globallist) {
 obj = (struct object *) node;
-if (obj->pipefd == fd)
+if (obj->pipeobj.fd == fd)
 return 0;
 }
 
",89,4
"perf fd destructor/dump were backwards.

wow.","
 
 static void perffd_destructor(struct object *obj)
 {
-output(0, ""perffd:%d\n"", obj->perffd);
+close(obj->perffd);
 }
 
 static void perffd_dump(struct object *obj)
 {
-close(obj->perffd);
+output(0, ""perffd:%d\n"", obj->perffd);
 }
 
 static int open_perf_fds(void)
",83,13
remove duplicate output from perf fd init," static void perffd_destructor(struct object *obj)
 
 static void perffd_dump(struct object *obj)
 {
-output(0, ""perffd:%d\n"", obj->perffd);
+output(0, ""perf fd: %d\n"", obj->perffd);
 }
 
 static int open_perf_fds(void)
 static int open_perf_fds(void)
 obj = alloc_object();
 obj->perffd = fd;
 add_object(obj, OBJ_GLOBAL, OBJ_FD_PERF);
-
-output(2, ""fd[%d] = perf\n"", fd);
 i++;
 
 /* any time we succeed, reset the failure counts.
",82,13
enhance testfile ->dump to log more info," static int btrfs_fd_test(int fd, const struct stat *st __attribute__((unused)))
 struct object *obj;
 
 obj = (struct object *) node;
-if (obj->testfilefd == fd)
+if (obj->testfileobj.fd == fd)
 return 0;
 }
 
",95,2
extended logging for epoll fd creation,"
 */
 #include ""objects.h""
 #include ""sanitise.h""
+#include ""tables.h""
 #include ""utils.h""
 
 static void post_epoll_create(struct syscallrecord *rec)
 {
 struct object *new;
+struct epollobj *eo;
 int fd = rec->retval;
 
 if (fd == -1)
 return;
 
 new = alloc_object();
-new->epollfd = fd;
+eo = &new->epollobj;
+eo->fd = fd;
+if (this_syscallname(""epoll_create1"")) {
+eo->create1 = TRUE;
+eo->flags = rec->a1;
+} else {
+eo->create1 = FALSE;
+eo->flags = 0;
+}
 add_object(new, OBJ_LOCAL, OBJ_FD_EPOLL);
 }
 
",43,3
fix cut-n-paste error in inotify syscall ->post," static void post_inotify_init(struct syscallrecord *rec)
 return;
 
 new = alloc_object();
-new->eventfd = fd;
+new->inotifyfd = fd;
 add_object(new, OBJ_LOCAL, OBJ_FD_INOTIFY);
 }
 
",33,2
extended logging for eventfd," static void post_eventfd_create(struct syscallrecord *rec)
 return;
 
 new = alloc_object();
-new->eventfd = fd;
+new->eventfdobj.fd = fd;
+new->eventfdobj.count = rec->a1;
+new->eventfdobj.flags = rec->a2;
 add_object(new, OBJ_LOCAL, OBJ_FD_EVENTFD);
 }
 
",39,2
quieten down the mm dumper," void map_dump(struct object *obj)
 
 m = &obj->map;
 sizeunit(m->size, buf);
-output(0, "" start: %p size:%s name: %s\n"", m->ptr, buf, m->name);
+output(2, "" start: %p size:%s name: %s\n"", m->ptr, buf, m->name);
 }
 
 /*
",144,22
"fix 'always true' comparison by hoisting declaration

the = NULL assignment each time around the loop
caused us to leak objects if we failed to open a testfile"," static void testfile_dump(struct object *obj)
 static int open_testfile(struct object *obj, char *filename)
 {
 int fd;
-int fcntl_flags;
 
 obj->testfileobj.filename = filename;
 
 static int open_testfile(struct object *obj, char *filename)
 
 fd = open_with_fopen(filename, O_RDWR);
 if (fd != -1) {
+int fcntl_flags;
+
 fcntl_flags = random_fcntl_setfl_flags();
 (void) fcntl(fd, F_SETFL, fcntl_flags);
 obj->testfileobj.fcntl_flags = fcntl_flags;
 static int open_testfile(struct object *obj, char *filename)
 static int open_testfile_fds(void)
 {
 struct objhead *head;
+struct object *obj = NULL;
 char *filename;
 unsigned int i = 1, nr = 0;
 unsigned int fails = 0;
 static int open_testfile_fds(void)
 filename = zmalloc(64);
 
 while (nr < MAX_TESTFILE_FDS) {
-struct object *obj = NULL;
 int fd;
 
 sprintf(filename, ""trinity-testfile%u"", i);
",106,13
fix leak of epoll object in failure path," static int open_epoll_fds(void)
 } else {
 /* not sure what happened. */
 output(0, ""open_epoll_fds fail: %s\n"", strerror(errno));
+free(obj);
 return FALSE;
 }
 }
",69,9
extended logging for timerfd objects,"
 
 static void timerfd_destructor(struct object *obj)
 {
-close(obj->timerfd);
+close(obj->timerfdobj.fd);
 }
 
 static void timerfd_dump(struct object *obj)
 {
-output(0, ""timerfd:%d\n"", obj->timerfd);
+struct timerfdobj *to = &obj->timerfdobj;
+
+output(0, ""timerfd fd:%d clockid:%d flags:%x\n"", to->fd, to->clockid, to->flags);
 }
 
 static int __open_timerfd_fds(int clockid)
 static int __open_timerfd_fds(int clockid)
 return FALSE;
 
 obj = alloc_object();
-obj->timerfd = fd;
+obj->timerfdobj.fd = fd;
+obj->timerfdobj.clockid = clockid;
+obj->timerfdobj.flags = flags[i];
 add_object(obj, OBJ_GLOBAL, OBJ_FD_TIMERFD);
 }
 return TRUE;
 static int get_rand_timerfd_fd(void)
 return -1;
 
 obj = get_random_object(OBJ_FD_TIMERFD, OBJ_GLOBAL);
-return obj->timerfd;
+return obj->timerfdobj.fd;
 }
 
 static const struct fd_provider timerfd_fd_provider = {
",73,10
extended logging for memfd objects," static int memfd_create(__unused__ const char *uname, __unused__ unsigned int fl
 
 static void memfd_destructor(struct object *obj)
 {
-close(obj->memfd);
+free(obj->memfdobj.name);
+close(obj->memfdobj.fd);
 }
 
 static void memfd_dump(struct object *obj)
 {
-output(0, ""memfd:%d\n"", obj->memfd);
+struct memfdobj *mo = &obj->memfdobj;
+
+output(0, ""memfd fd:%d name:%s flags:%x\n"", mo->fd, mo->name, mo->flags);
 }
 
 static int open_memfd_fds(void)
 static int open_memfd_fds(void)
 continue;
 
 obj = alloc_object();
-obj->memfd = fd;
+obj->memfdobj.fd = fd;
+obj->memfdobj.name = strdup(namestr);
+obj->memfdobj.flags = flags[i];
 add_object(obj, OBJ_GLOBAL, OBJ_FD_MEMFD);
-
-output(2, ""fd[%d] = memfd\n"", fd);
 }
 
 //FIXME: right now, returning FALSE means ""abort everything"", not
 static int get_rand_memfd_fd(void)
 return -1;
 
 obj = get_random_object(OBJ_FD_MEMFD, OBJ_GLOBAL);
-return obj->memfd;
+return obj->memfdobj.fd;
 }
 
 static const struct fd_provider memfd_fd_provider = {
",72,9
extended logging for inotify objects,"
 */
 #include ""objects.h""
 #include ""sanitise.h""
+#include ""tables.h""
 #include ""utils.h""
 
 static void post_inotify_init(struct syscallrecord *rec)
 static void post_inotify_init(struct syscallrecord *rec)
 return;
 
 new = alloc_object();
-new->inotifyfd = fd;
+new->inotifyobj.fd = fd;
+if (this_syscallname(""inotify_init1""))
+new->inotifyobj.flags = rec->a1;
+else
+new->inotifyobj.flags = 0;
 add_object(new, OBJ_LOCAL, OBJ_FD_INOTIFY);
 }
 
",38,3
extended logging for userfaultfd," static int userfaultfd_create(__unused__ unsigned int flag)
 
 static void userfaultfd_destructor(struct object *obj)
 {
-close(obj->userfaultfd);
+close(obj->userfaultobj.fd);
 }
 
 static void userfaultfd_dump(struct object *obj)
 {
-output(0, ""userfaultfd:%d\n"", obj->userfaultfd);
+struct userfaultobj *uo = &obj->userfaultobj;
+
+output(0, ""userfault fd:%d flags:%x\n"", uo->fd, uo->flags);
 }
 
 static int open_userfaultfds(void)
 static int open_userfaultfds(void)
 continue;
 
 obj = alloc_object();
-obj->userfaultfd = fd;
+obj->userfaultobj.fd = fd;
+obj->userfaultobj.flags = flags[i];
 add_object(obj, OBJ_GLOBAL, OBJ_FD_USERFAULTFD);
-
-output(2, ""fd[%d] = userfaultfd\n"", fd);
 }
 
 //FIXME: right now, returning FALSE means ""abort everything"", not
 static int get_rand_userfaultfd(void)
 return -1;
 
 obj = get_random_object(OBJ_FD_USERFAULTFD, OBJ_GLOBAL);
-return obj->userfaultfd;
+return obj->userfaultobj.fd;
 }
 
 static const struct fd_provider userfaultfd_provider = {
",69,9
fanotify object extended logging,"
 #include ""sanitise.h""
 #include ""utils.h""
 
-unsigned long fanotify_init_flags[] = {
+static unsigned long fanotify_init_flags[] = {
 FAN_CLOEXEC , FAN_NONBLOCK, FAN_UNLIMITED_QUEUE , FAN_UNLIMITED_MARKS,
 FAN_CLASS_NOTIF, FAN_CLASS_CONTENT, FAN_CLASS_PRE_CONTENT,
 };
",42,3
pass the global bool down to ->dump," static struct bpf_fd_types bpf_fds[] = {
 { BPF_MAP_TYPE_LPM_TRIE, 8, sizeof(long), 10000, 0, ""LPM TRIE"" },
 };
 
-static void bpf_map_dump(struct object *obj)
+static void bpf_map_dump(struct object *obj, __unused__ bool global)
 {
 u32 type = obj->bpfobj.map_type;
 
",102,9
move MAX_PATH_LEN to header," const char * get_filename(void)
 return fileindex[rnd() % files_in_index];
 }
 
-#define MAX_PATH_LEN 4096
-
 const char * generate_pathname(void)
 {
 const char *pathname = get_filename();
",224,54
log files opened over udp,"
 #include ""pathnames.h""
 #include ""random.h""
 #include ""syscalls/syscalls.h""
+#include ""udp.h""
 
 int open_with_fopen(const char *filename, int flags)
 {
 static void filefd_destructor(struct object *obj)
 close(obj->fileobj.fd);
 }
 
-static void filefd_dump(struct object *obj, __unused__ bool global)
+static void filefd_dump(struct object *obj, bool global)
 {
 struct fileobj *fo = &obj->fileobj;
+struct msg_objcreatedfile objmsg;
+int len = strlen(fo->filename);
+
+objmsg.type = OBJ_CREATED_FILE;
+objmsg.pid = getpid();
+objmsg.global = global;
+objmsg.address = obj;
+strncpy(objmsg.filename, fo->filename, len);
+memset(objmsg.filename + len, 0, MAX_PATH_LEN - len);
+objmsg.flags = fo->flags;
+objmsg.fd = fo->fd;
+objmsg.fopened = fo->fopened;
+objmsg.fcntl_flags = fo->fcntl_flags;
+sendudp((char *) &objmsg, sizeof(objmsg));
 
 output(0, ""file fd:%d filename:%s flags:%x fopened:%d fcntl_flags:%x\n"",
 fo->fd, fo->filename, fo->flags, fo->fopened, fo->fcntl_flags);
",159,23
drmfd dump needs to take the bool arg too.," static void drmfd_destructor(struct object *obj)
 close(obj->drmfd);
 }
 
-static void drmfd_dump(struct object *obj)
+static void drmfd_dump(struct object *obj, __unused__ bool global)
 {
 output(0, ""drmfd:%d\n"", obj->drmfd);
 }
",111,21
log and decode map objects," static void log_child_spawned(pid_t pid, int childno)
 if (logging_enabled == FALSE)
 return;
 
-childmsg.pid = pid;
-childmsg.type = CHILD_SPAWNED;
+childmsg.hdr.pid = pid;
+childmsg.hdr.type = CHILD_SPAWNED;
 childmsg.childno = childno;
 
 sendudp((char *) &childmsg, sizeof(childmsg));
",330,63
log & decode pipe objects,"
 #include ""sanitise.h""
 #include ""shm.h""
 #include ""trinity.h""
+#include ""udp.h""
 
 static void pipefd_destructor(struct object *obj)
 {
 close(obj->pipeobj.fd);
 }
 
-static void pipefd_dump(struct object *obj, __unused__ bool global)
+static void pipefd_dump(struct object *obj, bool global)
 {
 struct pipeobj *po = &obj->pipeobj;
+struct msg_objcreatedpipe objmsg;
 
 output(0, ""pipe fd:%d flags:%x [%s]\n"",
 po->fd, po->flags,
 po->reader ? ""reader"" : ""writer"");
+
+objmsg.hdr.type = OBJ_CREATED_PIPE;
+objmsg.hdr.pid = getpid();
+objmsg.hdr.global = global;
+objmsg.hdr.address = obj;
+objmsg.fd = po->fd;
+objmsg.flags = po->flags;
+objmsg.reader = po->reader;
+sendudp((char *) &objmsg, sizeof(objmsg));
 }
 
 static void open_pipe_pair(unsigned int flags)
",81,8
helper functions for msghdr init," static void filefd_dump(struct object *obj, bool global)
 struct msg_objcreatedfile objmsg;
 int len = strlen(fo->filename);
 
-objmsg.hdr.type = OBJ_CREATED_FILE;
-objmsg.hdr.pid = getpid();
-objmsg.hdr.global = global;
-objmsg.hdr.address = obj;
+init_msgobjhdr(&objmsg.hdr, OBJ_CREATED_FILE, global, obj);
 strncpy(objmsg.filename, fo->filename, len);
 memset(objmsg.filename + len, 0, MAX_PATH_LEN - len);
 objmsg.flags = fo->flags;
",156,23
convert map dump to use init_msgobjhdr," void map_dump(struct object *obj, bool global)
 
 m = &obj->map;
 
-objmsg.hdr.type = OBJ_CREATED_MAP;
-objmsg.hdr.pid = getpid();
-objmsg.hdr.global = global;
-objmsg.hdr.address = obj;
+init_msgobjhdr(&objmsg.hdr, OBJ_CREATED_MAP, global, obj);
 objmsg.start = m->ptr;
 len = strlen(m->name);
 strncpy(objmsg.name, m->name, len);
",156,22
use init_msghdr for MAIN_ messages," static void log_main_started(void)
 if (logging_enabled == FALSE)
 return;
 
-mainmsg.hdr.pid = getpid();
-mainmsg.hdr.type = MAIN_STARTED;
+init_msghdr(&mainmsg.hdr, MAIN_STARTED);
 mainmsg.num_children = max_children;
 mainmsg.shm_begin = shm;
 mainmsg.shm_end = shm + shm_size - 1;
 static void log_main_exiting(void)
 if (logging_enabled == FALSE)
 return;
 
-mainmsg.hdr.pid = getpid();
-mainmsg.hdr.type = MAIN_EXITING;
+init_msghdr(&mainmsg.hdr, MAIN_EXITING);
 mainmsg.reason = shm->exit_reason;
 
 sendudp((char *) &mainmsg, sizeof(mainmsg));
",585,131
add init_childmsghdr helper," static void log_child_signalled(int childno, pid_t pid, int sig)
 {
 struct msg_childsignalled childmsg;
 
-childmsg.hdr.pid = pid;
-childmsg.hdr.type = CHILD_SIGNALLED;
+init_childmsghdr(&childmsg.hdr, CHILD_SIGNALLED, pid);
 childmsg.childno = childno;
 childmsg.sig = sig;
 
 static void log_child_exited(pid_t pid, int childno)
 {
 struct msg_childexited childmsg;
 
-childmsg.hdr.pid = pid;
-childmsg.hdr.type = CHILD_EXITED;
+init_childmsghdr(&childmsg.hdr, CHILD_EXITED, pid);
 childmsg.childno = childno;
 
 sendudp((char *) &childmsg, sizeof(childmsg));
",583,131
log & decode epoll objects,"
 #include ""random.h""
 #include ""sanitise.h""
 #include ""shm.h""
+#include ""udp.h""
 
 #define MAX_EPOLL_FDS 10
 
 static void epoll_destructor(struct object *obj)
 static void epoll_dump(struct object *obj, __unused__ bool global)
 {
 struct epollobj *eo = &obj->epollobj;
+struct msg_objcreatedepoll objmsg;
 
 output(0, ""epoll fd:%d used create1?:%d flags:%x\n"", eo->fd, eo->create1, eo->flags);
+
+init_msgobjhdr(&objmsg.hdr, OBJ_CREATED_EPOLL, global, obj);
+objmsg.fd = eo->fd;
+objmsg.create1 = eo->create1;
+objmsg.flags = eo->flags;
+sendudp((char *) &objmsg, sizeof(objmsg));
 }
 
 static int open_epoll_fds(void)
",76,9
log & decode eventfd objects,"
 #include ""random.h""
 #include ""sanitise.h""
 #include ""shm.h""
+#include ""udp.h""
 #include ""compat.h""
 
 static void eventfd_destructor(struct object *obj)
 static void eventfd_destructor(struct object *obj)
 static void eventfd_dump(struct object *obj, __unused__ bool global)
 {
 struct eventfdobj *eo = &obj->eventfdobj;
+struct msg_objcreatedeventfd objmsg;
 
 output(0, ""eventfd fd:%d count:%d flags:%x\n"", eo->fd, eo->count, eo->flags);
+
+init_msgobjhdr(&objmsg.hdr, OBJ_CREATED_EVENTFD, global, obj);
+objmsg.fd = eo->fd;
+objmsg.count = eo->count;
+objmsg.flags = eo->flags;
+sendudp((char *) &objmsg, sizeof(objmsg));
 }
 
 static int open_eventfd_fds(void)
",76,7
log & decode timerfd objects,"
 #include ""sanitise.h""
 #include ""shm.h""
 #include ""compat.h""
+#include ""udp.h""
 
 static void timerfd_destructor(struct object *obj)
 {
 static void timerfd_destructor(struct object *obj)
 static void timerfd_dump(struct object *obj, __unused__ bool global)
 {
 struct timerfdobj *to = &obj->timerfdobj;
+struct msg_objcreatedtimerfd objmsg;
 
 output(0, ""timerfd fd:%d clockid:%d flags:%x\n"", to->fd, to->clockid, to->flags);
+
+init_msgobjhdr(&objmsg.hdr, OBJ_CREATED_TIMERFD, global, obj);
+objmsg.fd = to->fd;
+objmsg.clockid = to->clockid;
+objmsg.flags = to->flags;
+sendudp((char *) &objmsg, sizeof(objmsg));
 }
 
 static int __open_timerfd_fds(int clockid)
",80,10
log & decode testfile objects,"
 #include ""syscalls/syscalls.h""
 #include ""testfile.h""
 #include ""utils.h""
+#include ""udp.h""
 
 #define MAX_TESTFILES 4
 #define MAX_TESTFILE_FDS 20
 static void testfile_destructor(struct object *obj)
 static void testfile_dump(struct object *obj, __unused__ bool global)
 {
 struct fileobj *fo = &obj->testfileobj;
+struct msg_objcreatedfile objmsg;
+int len = strlen(fo->filename);
 
 output(0, ""testfile fd:%d filename:%s flags:%x fopened:%d fcntl_flags:%x\n"",
 fo->fd, fo->filename, fo->flags, fo->fopened, fo->fcntl_flags);
+
+init_msgobjhdr(&objmsg.hdr, OBJ_CREATED_TESTFILE, global, obj);
+strncpy(objmsg.filename, fo->filename, len);
+memset(objmsg.filename + len, 0, MAX_PATH_LEN - len);
+objmsg.flags = fo->flags;
+objmsg.fd = fo->fd;
+objmsg.fopened = fo->fopened;
+objmsg.fcntl_flags = fo->fcntl_flags;
+sendudp((char *) &objmsg, sizeof(objmsg));
 }
 
 static int open_testfile(struct object *obj, char *filename)
",117,13
log & decode memfd objects,"
 #include ""shm.h""
 #include ""compat.h""
 #include ""trinity.h""
+#include ""udp.h""
 
 static int memfd_create(__unused__ const char *uname, __unused__ unsigned int flag)
 {
 static void memfd_destructor(struct object *obj)
 static void memfd_dump(struct object *obj, __unused__ bool global)
 {
 struct memfdobj *mo = &obj->memfdobj;
+struct msg_objcreatedmemfd objmsg;
+int len;
 
 output(0, ""memfd fd:%d name:%s flags:%x\n"", mo->fd, mo->name, mo->flags);
+
+init_msgobjhdr(&objmsg.hdr, OBJ_CREATED_MEMFD, global, obj);
+objmsg.fd = mo->fd;
+len = strlen(mo->name);
+strncpy(objmsg.name, mo->name, len);
+objmsg.flags = mo->flags;
+sendudp((char *) &objmsg, sizeof(objmsg));
 }
 
 static int open_memfd_fds(void)
",81,9
log & decode drm objects,"
 #include <fcntl.h>
 #include <drm/drm.h>
 
+#include ""udp.h""
+
 static void drmfd_destructor(struct object *obj)
 {
 close(obj->drmfd);
 static void drmfd_destructor(struct object *obj)
 
 static void drmfd_dump(struct object *obj, __unused__ bool global)
 {
+struct msg_objcreateddrm objmsg;
+
 output(0, ""drmfd:%d\n"", obj->drmfd);
+
+init_msgobjhdr(&objmsg.hdr, OBJ_CREATED_DRM, global, obj);
+objmsg.fd = obj->drmfd;
+sendudp((char *) &objmsg, sizeof(objmsg));
 }
 
 static int create_dumb(__unused__ int fd)
",116,21
log & decode inotify objects,"
 #include ""random.h""
 #include ""sanitise.h""
 #include ""shm.h""
+#include ""udp.h""
 
 #define MAX_INOTIFY_FDS 5
 
 static void inotify_destructor(struct object *obj)
 static void inotify_dump(struct object *obj, __unused__ bool global)
 {
 struct inotifyobj *io = &obj->inotifyobj;
+struct msg_objcreatedinotify objmsg;
 
 output(0, ""inotify fd:%d flags:%x\n"", io->fd, io->flags);
+
+init_msgobjhdr(&objmsg.hdr, OBJ_CREATED_INOTIFY, global, obj);
+objmsg.fd = io->fd;
+objmsg.flags = io->flags;
+sendudp((char *) &objmsg, sizeof(objmsg));
 }
 
 static int open_inotify_fds(void)
",74,8
log & decode userfault objects,"
 #include ""shm.h""
 #include ""compat.h""
 #include ""trinity.h""
+#include ""udp.h""
 
 static int userfaultfd_create(__unused__ unsigned int flag)
 {
 static void userfaultfd_destructor(struct object *obj)
 static void userfaultfd_dump(struct object *obj, __unused__ bool global)
 {
 struct userfaultobj *uo = &obj->userfaultobj;
+struct msg_objcreateduserfault objmsg;
 
 output(0, ""userfault fd:%d flags:%x\n"", uo->fd, uo->flags);
+
+init_msgobjhdr(&objmsg.hdr, OBJ_CREATED_USERFAULT, global, obj);
+objmsg.fd = uo->fd;
+objmsg.flags = uo->flags;
+sendudp((char *) &objmsg, sizeof(objmsg));
 }
 
 static int open_userfaultfds(void)
",75,9
log & decode fanotify objects,"
 #include ""compat.h""
 #include ""trinity.h""
 #include ""utils.h""
+#include ""udp.h""
 
 #define NR_FANOTIFYFDS 10
 
 static void fanotifyfd_destructor(struct object *obj)
 static void fanotifyfd_dump(struct object *obj, __unused__ bool global)
 {
 struct fanotifyobj *fo = &obj->fanotifyobj;
+struct msg_objcreatedfanotify objmsg;
 
 output(0, ""fanotify fd:%d flags:%x eventflags:%x\n"",
 fo->fd, fo->flags, fo->eventflags);
+
+init_msgobjhdr(&objmsg.hdr, OBJ_CREATED_FANOTIFY, global, obj);
+objmsg.fd = fo->fd;
+objmsg.flags = fo->flags;
+objmsg.eventflags = fo->eventflags;
+sendudp((char *) &objmsg, sizeof(objmsg));
 }
 
 static int open_fanotify_fds(void)
",76,9
log & decode bpf map objects,"
 #include ""shm.h""
 #include ""compat.h""
 #include ""trinity.h""
+#include ""udp.h""
 
 static int bpf(int cmd, union bpf_attr *attr, unsigned int size)
 {
 static struct bpf_fd_types bpf_fds[] = {
 
 static void bpf_map_dump(struct object *obj, __unused__ bool global)
 {
+struct msg_objcreatedbpfmap objmsg;
 u32 type = obj->bpfobj.map_type;
 
 output(0, ""bpf map fd:%d type:%s\n"", obj->bpfobj.map_fd, &bpf_fds[type].name);
+
+init_msgobjhdr(&objmsg.hdr, OBJ_CREATED_BPFMAP, global, obj);
+objmsg.map_fd = obj->bpfobj.map_fd;
+objmsg.map_type = obj->bpfobj.map_type;
+sendudp((char *) &objmsg, sizeof(objmsg));
 }
 
 static int open_bpf_fds(void)
",108,9
log & decode socket objects,"
 #include ""sanitise.h""
 #include ""shm.h""
 #include ""trinity.h""
+#include ""udp.h""
 #include ""uid.h""
 #include ""utils.h""
 
 static void socket_destructor(struct object *obj)
 static void socket_dump(struct object *obj, __unused__ bool global)
 {
 struct socketinfo *si = &obj->sockinfo;
+struct msg_objcreatedsocket objmsg;
 
 output(0, ""socket fd:%d domain:%u (%s) type:0x%u protocol:%u\n"",
 si->fd, si->triplet.family, get_domain_name(si->triplet.family),
 si->triplet.type, si->triplet.protocol);
+
+init_msgobjhdr(&objmsg.hdr, OBJ_CREATED_SOCKET, global, obj);
+objmsg.si.fd = si->fd;
+objmsg.si.triplet.family = si->triplet.family;
+objmsg.si.triplet.type = si->triplet.type;
+objmsg.si.triplet.protocol = si->triplet.protocol;
+sendudp((char *) &objmsg, sizeof(objmsg));
 }
 
 static int open_sockets(void)
",403,88
log & decode futex objects," static void decode_obj_created_socket(void)
 objmsg->si.triplet.protocol);
 }
 
+static void decode_obj_created_futex(void)
+{
+struct msg_objcreatedfutex *objmsg;
+objmsg = (struct msg_objcreatedfutex *) &buf;
+
+printf(""%s futex object created at %p by pid %d: futex:%d owner:%d\n"",
+objmsg->hdr.global ? ""local"" : ""global"",
+objmsg->hdr.address, objmsg->hdr.pid,
+objmsg->futex, objmsg->owner);
+}
 
 const struct msgfunc decodefuncs[MAX_LOGMSGTYPE] = {
 [MAIN_STARTED] = { decode_main_started },
 const struct msgfunc decodefuncs[MAX_LOGMSGTYPE] = {
 [OBJ_CREATED_FANOTIFY] = { decode_obj_created_fanotify },
 [OBJ_CREATED_BPFMAP] = { decode_obj_created_bpfmap },
 [OBJ_CREATED_SOCKET] = { decode_obj_created_socket },
+[OBJ_CREATED_FUTEX] = { decode_obj_created_futex },
 };
",250,44
log & decode sysvshm objects," static void decode_obj_created_futex(void)
 objmsg->futex, objmsg->owner);
 }
 
+static void decode_obj_created_shm(void)
+{
+struct msg_objcreatedshm *objmsg;
+objmsg = (struct msg_objcreatedshm *) &buf;
+
+printf(""%s shm object created at %p by pid %d: id:%u size:%zu flags:%x ptr:%p\n"",
+objmsg->hdr.global ? ""local"" : ""global"",
+objmsg->hdr.address, objmsg->hdr.pid,
+objmsg->id, objmsg->size, objmsg->flags, objmsg->ptr);
+}
+
 const struct msgfunc decodefuncs[MAX_LOGMSGTYPE] = {
 [MAIN_STARTED] = { decode_main_started },
 [MAIN_EXITING] = { decode_main_exiting },
 const struct msgfunc decodefuncs[MAX_LOGMSGTYPE] = {
 [OBJ_CREATED_BPFMAP] = { decode_obj_created_bpfmap },
 [OBJ_CREATED_SOCKET] = { decode_obj_created_socket },
 [OBJ_CREATED_FUTEX] = { decode_obj_created_futex },
+[OBJ_CREATED_SHM] = { decode_obj_created_shm },
 };
",260,46
log & decode object destruction,"
 #include ""random.h""
 #include ""shm.h""
 #include ""trinity.h""
+#include ""udp.h""
 #include ""utils.h""
 
 struct object * alloc_object(void)
 bool objects_empty(enum objecttype type)
 void destroy_object(struct object *obj, bool global, enum objecttype type)
 {
 struct objhead *head;
+struct msg_objdestroyed objmsg;
+
+init_msgobjhdr(&objmsg.hdr, OBJ_DESTROYED, global, obj);
+sendudp((char *) &objmsg, sizeof(objmsg));
 
 list_del(&obj->list);
 
",149,29
pass the buffer down to the decode routines instead of using a global," struct sockaddr_in udpclient;
 
 int socketfd;
 
-char buf[MAXBUF];
+#define MAXBUF 10240
+static char buf[MAXBUF];
 
 void sendudp(char *buffer, size_t len)
 {
 int main(__unused__ int argc, __unused__ char* argv[])
 continue;
 }
 
-decodefuncs[type].func();
+decodefuncs[type].func((char *)&buf);
 }
 
 closeout:
",99,18
log which syscalls got enabled.," static void decode_obj_destroyed(char *buf)
 objmsg->hdr.type);
 }
 
+static void decode_syscalls_enabled(char *buf)
+{
+struct msg_syscallsenabled *scmsg;
+int nr;
+int i;
+
+scmsg = (struct msg_syscallsenabled *) buf;
+nr = scmsg->nr_enabled;
+if (scmsg->arch_is_biarch == TRUE) {
+printf(""Enabled %d %s bit syscalls : { "", nr, scmsg->is_64 ? ""64"" : ""32"");
+for (i = 0 ; i < nr; i++)
+printf(""%d "", scmsg->entries[i]);
+printf(""}\n"");
+} else {
+printf(""Enabled %d syscalls : { "", nr);
+for (i = 0 ; i < nr; i++)
+printf(""%d "", scmsg->entries[i]);
+printf(""}\n"");
+}
+}
+
 const struct msgfunc decodefuncs[MAX_LOGMSGTYPE] = {
 [MAIN_STARTED] = { decode_main_started },
 [MAIN_EXITING] = { decode_main_exiting },
 const struct msgfunc decodefuncs[MAX_LOGMSGTYPE] = {
 [OBJ_CREATED_FUTEX] = { decode_obj_created_futex },
 [OBJ_CREATED_SHM] = { decode_obj_created_shm },
 [OBJ_DESTROYED] = { decode_obj_destroyed },
+[SYSCALLS_ENABLED] = { decode_syscalls_enabled },
 };
",290,53
"add missing 'transmit and free udp packet' lines to uniarch table code.

missing cut-n-paste."," void log_enabled_syscalls_uniarch(void)
 continue;
 
 if (entry->flags & ACTIVE)
-entries[index++]= i;
+entries[index++] = i;
 }
+sendudp((char *) udpmsg, size);
+free(udpmsg);
 }
",155,30
